project_id,cost,votes,name,category,beneficiaries,selected,latitude,longitude,primary_category
1443,670625,23226,"Więcej dużych drzew w Warszawie - zieleń, cień i czyste powietrze","urban greenery,public space,environmental protection","seniors,adults,youth,children",1,,,urban greenery
1016,110000,799,"Warsztaty dla dzieci: Zaprojektuj lepszą przyszłość. Nowe technologie, design thinking i zrównoważony rozwój","environmental protection,education","people with disabilities,youth,children",0,,,environmental protection
1433,1200000,5706,Wypoczywaj i relaksuj się wśród śpiewu ptaków i szumu drzew - remont alejek parkowych w lasku - parku przyszpitalnym wraz z wykonaniem nowego ich oświetlenia i montażem ławek wypoczynkowych,"urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.286578247207,20.951237729933,urban greenery
1342,600000,5157,Silne Kobiety - murale warszawskie,"public space,culture,education","people with disabilities,seniors,adults,youth,children",0,,,public space
1549,220000,1963,"Zajęcia grupowe w saunie suchej w formule 3 w 1 wzmacniające odporność immunologiczną, oddechową i psychiczną","sport,welfare,culture","people with disabilities,seniors,adults,youth,children",0,52.243855671972334,21.008331255583663,sport
1207,4135900,1034,Dostępne place zabaw: przebudowa 4 istniejących placów zabaw na place dostępne dla wszystkich i opracowanie „Poradnika do projektowania i realizacji”,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,52.226026205814,21.03944199523825,urban greenery
446,191660,2125,Warszawskie biegi na orientację 2023 - Warsaw Orient Races 2023,"sport,education","people with disabilities,seniors,adults,youth,children",0,,,sport
1450,599400,5173,999 stojaków rowerowych dla Warszawy,"sport,public space,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.22754445597924,21.03841285705569,sport
75,3011700,5332,"RoweroWarszawa - wiata, stojaki, kontraruch, nowe drogi dla rowerów","public space,environmental protection,public transit and roads","seniors,adults,youth,children",0,52.25748690011213,21.04578546071988,public space
65,3715000,3137,Zielone i bezpieczne dla ptaków wiaty przystankowe w Warszawie,"public space,environmental protection,public transit and roads","people with disabilities,seniors,adults,youth,children",0,,,public space
556,17000,1421,Zajęcia na nartorolkach czyli biegówki bez śniegu,"sport,education","adults,youth",0,52.24652676788951,21.2217618735935,sport
1731,950000,7577,Hamaki dla Warszawy - BO warto!,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,52.217254710895,20.9270093300598,urban greenery
109,5973560,4824,Zdrowa Warszawa – remonty boisk sportowych,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,52.2601711949125,21.022259400423,urban greenery
1302,82000,2025,Tablice multimedialne - ekrany,"sport,public space,welfare","people with disabilities,seniors,adults,youth,children",0,,,sport
1734,3222950,6236,Parki kieszonkowe dla Warszawy. Bo warto!,"urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.23132713804747,21.029067409739824,urban greenery
1565,20640,1096,Program edukacji zdrowotnej dla nastolatek - spotkania z fizjoterapeutką,"health,education","people with disabilities,adults,youth",0,,,health
1812,300000,2279,Rolkowa stolica - cykl przejazdów na rolkach ulicami Warszawy,"sport,public space","people with disabilities,seniors,adults,youth,children",0,52.22500494645652,21.00860996456557,sport
133,5876500,3454,"Chodniki dla Warszawy [Białołęka, Praga-Południe]","public space,public transit and roads","people with disabilities,seniors,adults,youth,children",0,52.32314904255199,21.05227828932989,public space
1796,93500,811,Pjus toujours vif - kursy języka migowego,education,,0,,,education
212,475804,1538,Warszawska elektrownia rowerowa,"sport,environmental protection,education","people with disabilities,seniors,adults,youth,children",0,52.23676413104362,21.007836611923253,sport
941,141000,9469,Żeby koty na Paluchu nie musiały siedzieć w klatkach!,"environmental protection,education","people with disabilities,seniors,adults,youth,children",1,52.156215786937,20.9619140625,environmental protection
951,6065250,13171,Wygodne drogi dla rowerów,"sport,public space,public transit and roads","seniors,adults,youth",0,52.21548541352941,21.0446396874532,sport
1726,978000,1372,Książki oraz audiobooki dla dzieci i młodzieży promujące przedsiębiorczość do bibliotek miejskich i szkolnych oraz przedszkoli,education,"youth,children",0,,,education
1571,726729,16100,"Ogrody biocenotyczne dla Warszawy – zwiększenie bioróżnorodności, retencji wody i kontaktu mieszkańców z przyrodą","urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children",1,,,urban greenery
23,31823,594,Kampania wsparcia ochrony życia i rodziny na ekranach w Warszawskim Transporcie Publicznym,"welfare,public transit and roads,education","people with disabilities,seniors,adults,youth",0,52.22897658316617,21.030050248285704,welfare
1562,20640,1851,Program edukacji zdrowotnej dla nastolatek - spotkania z położną,"health,education","people with disabilities,adults,youth",1,,,health
42,860670,2699,Defibrylator AED w szkole podstawowej i ponadpodstawowej,"education,welfare","people with disabilities,seniors,adults,youth,children",0,52.23197756137584,21.02836123691239,education
1714,620000,6750,"Psy-jazna Warszawa – budowa nowych wybiegów, remont istniejących oraz bezpłatne zajęcia grupowe z behawiorystami na terenie miasta","public space,education","people with disabilities,seniors,adults,youth,children",0,,,public space
1806,428000,1698,Wiślane Centrum Sportów Wodnych,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,52.21896963959,21.046476113665,urban greenery
1790,650000,4545,Jadłodzielnie dla Warszawy - BO warto!,"public space,welfare,education","people with disabilities,seniors,adults,youth,children",0,52.23950528024283,21.027261874367,public space
1482,600000,16488,"Ratujmy warszawskie drzewa, usuńmy jemiołę zanim zniszczy drzewa na terenie parków i ulic - pielęgnacja drzew wymagających szczególnej opieki","urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children",1,52.214919508085,21.030602264404,urban greenery
1795,110000,108,Z maseczką na twarzy - Praktyczne porady i wskazówki Techniki i triki oddechowe oraz elementy auto-terapii oddechowej dla osób w maseczkach ochronnych,"public space,welfare,public transit and roads","people with disabilities,seniors,adults,youth,children",0,52.230526576226,21.03147983551,public space
508,36000,1402,Ekologiczne i funkcjonalne ławki z zadaszeniem i osłonięciem z 3 stron w warszawskich parkach dla mam karmiących i przewijających maluszki,"environmental protection,public space,culture","children,adults",0,52.115527683673,21.090830114097,environmental protection
1283,870000,6888,Warszawska różowa skrzyneczka międzypokoleniowa,"sport,culture,welfare","seniors,people with disabilities,adults,youth,children",0,,,sport
1178,73000,3432,Robimy porządek w Warszawie - kupujemy nowe blokady dla Straży Miejskiej,"public space,public transit and roads","people with disabilities,seniors,adults,youth,children",0,,,public space
1157,82500,3370,Odpocznij opiekunie - wieczór wytchnieniowy dla opiekunów osób w spektrum autyzmu,"environmental protection,culture","people with disabilities,seniors,adults",0,52.26149813798566,20.977201759815,environmental protection
45,200000,1453,Akcja rozdawania odblasków – w szkołach i na ulicach,"public transit and roads,welfare,education","people with disabilities,seniors,adults,youth,children",0,52.232795385656495,21.026024620700497,public transit and roads
1007,182000,4437,Pętle indukcyjne - dla osób z niepełnosprawnością narządu słuchu,"public space,welfare","people with disabilities,seniors,adults,youth,children",0,,,public space
1349,50000,1597,„Dźwięko- i muzyko-terapia dla osób pogrążonych w depresji” – terapeutyczne zajęcia grupowe dla dorosłych mieszkańców Warszawy,"welfare,culture,education","people with disabilities,seniors,adults",0,52.237256962579,21.013774573803,welfare
1598,5800000,9023,Budowa zaległej infrastruktury rowerowej,"sport,public space,public transit and roads","seniors,adults,youth",0,52.268684557985,20.992422034713748,sport
20,2500000,5759,Poprawa infrastruktury rowerowej na Śródmieściu i Włochach,"sport,public transit and roads","seniors,adults,youth,children",0,52.21966195424199,21.006404499357,sport
643,290000,611,Akcja patriotyczno-historyczna na ekranach komunikacji miejskiej (monitory w autobusach komunikacji miejskiej),"culture,public transit and roads,education","people with disabilities,seniors,adults,youth,children",0,52.23221405614417,21.032231357545765,culture
1764,10500,1065,Umilmy dzieciom podróż do Centrum Zdrowia Dziecka - BO warto!,"public space,education","adults,children",0,52.224597098836746,21.14749651071533,public space
