project_id,cost,votes,name,category,beneficiaries,selected,latitude,longitude,primary_category
45,200000,1453,Akcja rozdawania odblasków – w szkołach i na ulicach,"public transit and roads,welfare,education","people with disabilities,seniors,adults,youth,children",0,52.232795385656495,21.026024620700497,public transit and roads
1433,1200000,5706,Wypoczywaj i relaksuj się wśród śpiewu ptaków i szumu drzew - remont alejek parkowych w lasku - parku przyszpitalnym wraz z wykonaniem nowego ich oświetlenia i montażem ławek wypoczynkowych,"urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.286578247207,20.951237729933,urban greenery
1190,597400,3799,Rodzinne Kluby Przyrodnicze w całej Warszawie - natura miejscem przygód i pikniki z elementami survivalu,"urban greenery,welfare,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.2621346377089,21.0179857509711,urban greenery
1549,220000,1963,"Zajęcia grupowe w saunie suchej w formule 3 w 1 wzmacniające odporność immunologiczną, oddechową i psychiczną","sport,welfare,culture","people with disabilities,seniors,adults,youth,children",0,52.243855671972334,21.008331255583663,sport
1112,210000,1418,Urządzenia do kalisteniki oraz pole do mini golfa na terenie Ośrodka Hutnik,sport,"people with disabilities,seniors,adults,youth,children",0,52.299901724372,20.942214188069,sport
93,6060000,12576,Mikrolasy dla całej Warszawy,"urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children,animals",0,,,urban greenery
1562,20640,1851,Program edukacji zdrowotnej dla nastolatek - spotkania z położną,"health,education","people with disabilities,adults,youth",1,,,health
74,1274815,3383,Zielone i bezpieczne ulice Warszawy IV,"environmental protection,urban greenery,public space","people with disabilities,seniors,adults,youth,children",0,52.2432095154565,21.061461301809747,environmental protection
1338,6067000,3612,Największy kreatywny zadaszony skatepark całoroczny z lodowiskiem,"sport,public space,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.257261987734,20.92956361266,sport
1208,655500,548,Doposażenie siłowni zewnętrznych w urządzenia “bez barier”,"urban greenery,sport,public space","people with disabilities,seniors,adults,youth,children",0,52.253597395247,21.031547701879838,urban greenery
404,400000,3436,"Specjalistyczny, elektryczny pojazd medyczny do ratowania małych i średnich zwierząt przez funkcjonariuszy patroli Referatu ds. Ekologicznych Oddziału Ochrony Środowiska Straży Miejskiej m. st. Warszawy.","welfare,environmental protection","people with disabilities,seniors,adults,youth,children",0,52.233364683365,21.019180977413,welfare
1841,490000,866,Padel nad Wisłą,"sport,public space,education","people with disabilities,seniors,adults,youth,children",0,52.219599644483,21.046209116653,sport
1209,228000,735,Mapa terenów rekreacyjnych dostępnych dla osób z niepełnosprawnościami,"urban greenery,public space","people with disabilities,seniors,adults,youth,children",0,,,urban greenery
1169,250000,1234,Przyjazne baseny - specjalna oferta dla osób w spektrum autyzmu,"sport,welfare",people with disabilities,0,52.2281570695655,21.04959493207725,sport
993,320000,4030,Rzuć wszystko i chodź na Wisłę - bezpłatne rejsy Stołecznej Żeglugi Pasażerskiej,public space,"people with disabilities,seniors,adults,youth,children",0,52.233504284454746,21.045618984862084,public space
755,4000000,6635,"Więcej drzew,krzewów, bylin i roślin okrywowych w warszawskich parkach, nowe nasadzenia i pielęgnacja – więcej świeżej zieleni, więcej gatunków, więcej tlenu","urban greenery,environmental protection","people with disabilities,seniors,adults,youth,children",0,,,urban greenery
